Accession_Num,Collection_Date,Locality,Host,Name,Notes
ON613535,3/15/19,Madagascar,Eidolon_dupreanum,AngV,
AF017149,7/31/94,Australia,Homo_sapiens,HeV,
AF212302,7/31/99,Malaysia,Homo_sapiens,NiV,
AJ564621,7/31/99,Malaysia,Sus_scrofa_domesticus,NiV,
AJ564622,7/31/99,Malaysia,Sus_scrofa_domesticus,NiV,
AJ564623,7/31/99,Malaysia,Sus_scrofa_domesticus,NiV,
AJ627196,7/31/99,Malaysia,Sus_scrofa_domesticus,NiV,
AY029767,7/31/99,Malaysia,Homo_sapiens,NiV,
AY029768,7/31/99,Malaysia,Homo_sapiens,NiV,
AY988601,7/31/04,Bangladesh,Homo_sapiens,NiV,
FJ513078,7/31/07,India,Homo_sapiens,NiV,
HM044317,7/15/08,Australia,Equus_f_caballus,HeV,
HM044318,10/15/06,Australia,Equus_f_caballus,HeV,
HM044319,6/15/07,Australia,Equus_f_caballus,HeV,
HM044320,7/31/08,Australia,Equus_f_caballus,HeV,
HM044321,7/15/07,Australia,Equus_f_caballus,HeV,
HQ660129,7/31/09,Ghana,Eidolon_helvum,GhV,
JN255800,8/15/09,Australia,Pteropus_alecto,HeV,
JN255803,8/5/09,Australia,Pteropus_alecto/Pteropus_poliocephalus,HeV,
JN255804,7/15/07,Australia,Pteropus_alecto/Pteropus_poliocephalus,HeV,
JN255806,8/15/09,Australia,Equus_f_caballus,HeV,
JN808863,7/31/08,Bangladesh,Homo_sapiens,NiV,
JQ001776,9/15/09,Australia,Pteropus_sp,CedPV,
KF278639,7/31/12,China,Rattus_rattus,MojV,
KP271122,9/15/09,Australia,Pteropus_poliocephalus,CedPV,
MH396625,5/17/18,India,Homo_sapiens,NiV,Kerala
MH523640,5/17/18,India,Homo_sapiens,NiV,Kerala
MH523641,5/21/18,India,Homo_sapiens,NiV,Kerala
MH523642,5/17/18,India,Homo_sapiens,NiV,Kerala
MK575060,4/11/13,Bangladesh,Pteropus_medius,NiV,
MK575061,4/11/13,Bangladesh,Pteropus_medius,NiV,
MK575062,4/11/13,Bangladesh,Pteropus_medius,NiV,
MK575063,4/11/13,Bangladesh,Pteropus_medius,NiV,
MK575064,4/11/13,Bangladesh,Pteropus_medius,NiV,
MK575065,4/11/13,Bangladesh,Pteropus_medius,NiV,
MK575066,4/11/13,Bangladesh,Pteropus_medius,NiV,
MK575067,4/11/13,Bangladesh,Pteropus_medius,NiV,
MK575068,4/11/13,Bangladesh,Pteropus_medius,NiV,
MK575069,4/11/13,Bangladesh,Pteropus_medius,NiV,
MK575070,1/6/13,Bangladesh,Pteropus_medius,NiV,
MK673558,3/25/99,Malaysia,Sus_scrofa_domesticus,NiV,
MK673559,3/25/99,Malaysia,Sus_scrofa_domesticus,NiV,
MK673561,7/31/99,Malaysia,Sus_scrofa_domesticus,NiV,
MK673562,7/31/99,Malaysia,Homo_sapiens,NiV,
MK673563,4/3/99,Malaysia,dog,NiV,
MK673564,1/22/04,Bangladesh,Homo_sapiens,NiV,
MK673565,2/9/04,Bangladesh,Homo_sapiens,NiV,
MK673566,3/29/04,Bangladesh,Homo_sapiens,NiV,
MK673567,4/19/04,Bangladesh,Homo_sapiens,NiV,
MK673568,2/28/08,Bangladesh,Homo_sapiens,NiV,
MK673570,2/11/11,Bangladesh,Homo_sapiens,NiV,
MK673571,2/1/11,Bangladesh,Homo_sapiens,NiV,
MK673573,2/2/11,Bangladesh,Homo_sapiens,NiV,
MK673574,2/3/11,Bangladesh,Homo_sapiens,NiV,
MK673575,2/10/11,Bangladesh,Homo_sapiens,NiV,
MK673576,1/11/11,Bangladesh,Homo_sapiens,NiV,
MK673577,2/2/11,Bangladesh,Homo_sapiens,NiV,
MK673578,3/8/11,Bangladesh,Homo_sapiens,NiV,
MK673579,1/20/12,Bangladesh,Homo_sapiens,NiV,
MK673581,1/21/12,Bangladesh,Homo_sapiens,NiV,
MK673582,4/5/12,Bangladesh,Homo_sapiens,NiV,
MK673583,1/22/13,Bangladesh,Homo_sapiens,NiV,
MK673584,1/5/15,Bangladesh,Homo_sapiens,NiV,
MK673585,3/18/15,Bangladesh,Homo_sapiens,NiV,
MK673586,3/15/15,Bangladesh,Homo_sapiens,NiV,
MK673587,1/19/15,Bangladesh,Homo_sapiens,NiV,
MK673589,2/6/14,Bangladesh,Homo_sapiens,NiV,
MK673590,2/7/14,Bangladesh,Homo_sapiens,NiV,
MK673591,2/4/14,Bangladesh,Homo_sapiens,NiV,
MK673592,1/20/14,Bangladesh,Homo_sapiens,NiV,
MK801755,7/31/03,Cambodia,Pteropus_lylei,NiV,
MN062017,7/31/94,Australia,Equus_f_caballus,HeV,
MN549409,6/10/19,India,Pteropus_medius,NiV,
MZ318101,9/16/15,Australia,Equus_f_caballus,HeV,
MZ574407,10/27/17,South_Korea,Crocidura_lasiura,GAKV,
MZ574408,11/21/17,South_Korea,Crocidura_lasiura,GAKV,
MZ574409,10/31/17,South_Korea,Crocidura_shantungensis,DARV,
