"bat_species","roost_site","season_sum","bat_sex","N_sampled","N_positive"
"Eidolon dupreanum","AngavoBe","'17/'18-wet","female",4,0
"Eidolon dupreanum","AngavoBe","'17/'18-wet","male",1,0
"Eidolon dupreanum","AngavoBe","2018-dry","female",2,0
"Eidolon dupreanum","AngavoBe","2018-dry","male",1,0
"Eidolon dupreanum","AngavoKely","'15/'16-wet","female",1,0
"Eidolon dupreanum","AngavoKely","'15/'16-wet","male",1,0
"Eidolon dupreanum","AngavoKely","'17/'18-wet","female",33,4
"Eidolon dupreanum","AngavoKely","'17/'18-wet","male",5,0
"Eidolon dupreanum","AngavoKely","'18/'19-wet","female",27,2
"Eidolon dupreanum","AngavoKely","'18/'19-wet","male",20,2
"Eidolon dupreanum","AngavoKely","2018-dry","female",3,1
"Eidolon dupreanum","AngavoKely","2018-dry","male",8,1
"Pteropus rufus","Ambakoana","'14/'15-wet","male",3,0
"Pteropus rufus","Ambakoana","'15/'16-wet","male",2,0
"Pteropus rufus","Ambakoana","'17/'18-wet","male",2,0
"Pteropus rufus","Ambakoana","'18/'19-wet","female",3,0
"Pteropus rufus","Ambakoana","'18/'19-wet","male",6,0
"Pteropus rufus","Ambakoana","2013-wet","female",1,0
"Pteropus rufus","Ambakoana","2013-wet","male",1,0
"Pteropus rufus","Mahabo","2014-dry","female",4,0
"Pteropus rufus","Mahabo","2014-dry","male",4,0
"Pteropus rufus","Mahialambo","'18/'19-wet","female",3,0
"Pteropus rufus","Mahialambo","'18/'19-wet","male",2,0
"Pteropus rufus","Makira","2015-dry","male",2,0
"Pteropus rufus","Marovitsika","'14/'15-wet","male",2,0
"Pteropus rufus","Marovitsika","2013-wet","female",1,0
"Pteropus rufus","Marovitsika","2013-wet","male",1,0
"Pteropus rufus","Marovitsika","2014-dry","female",1,0
"Rousettus madagascariensis","Maromizaha","'17/'18-wet","female",6,0
"Rousettus madagascariensis","Maromizaha","'17/'18-wet","male",3,0
"Rousettus madagascariensis","Maromizaha","'18/'19-wet","female",26,0
"Rousettus madagascariensis","Maromizaha","'18/'19-wet","male",20,0
"Rousettus madagascariensis","Maromizaha","2018-dry","female",4,0
"Rousettus madagascariensis","Maromizaha","2018-dry","male",3,0
