czb_barcode,czb_id,plate,supplier_sample_ID,sampleID,sample_type,site,capture_date,species,recap,previous_ID,sex,class,yoy,mom_baby_pair,mass_g,forearm_mm,age,luminex_titer_CEDF,luminex_titer_CEDG,luminex_titer_EBOV,luminex_titer_HEVF,luminex_titer_HEVG,luminex_titer_NIVF,luminex_titer_NIVG,luminex_titer_MARV,Babesia,Bartonella,extraction_date,notes
RR034B303,RR034B_303_uaRa,2,AMB106_urine,AMB106,urine,"Ambakoana, Madagascar",1/19/16,Pteropus rufus,,,M,A,,,680,160,2.304109589,10,8.5,24.5,12.5,10.5,13,11.5,12,0,NA,5/12/19,
RR034B304,RR034B_304_uaRa,2,AMB116_urine,AMB116,urine,"Ambakoana, Madagascar",1/21/16,Pteropus rufus,,,M,A,,,790,165,2.309589041,100,301,23.75,133.5,75.5,60,46.75,13,1,NA,5/12/19,
RR034B305,RR034B_305_uaRa,2,AMB122_urine,AMB122,urine,"Ambakoana, Madagascar",2/23/18,Pteropus rufus,N,,M,A,N,N,680,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B306,RR034B_306_uaRa,2,AMB141_urine,AMB141,urine,"Ambakoana, Madagascar",4/16/18,Pteropus rufus,N,,M,A,N,N,710,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/18/19,
RR034B307,RR034B_307_uaRa,2,AMB15_urine,AMB15,urine,"Ambakoana, Madagascar",11/18/13,Pteropus rufus,,,M,J,,,130,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
RR034B308,RR034B_308_uaRa,2,AMB160_urine,AMB160,urine,"Ambakoana, Madagascar",1/7/19,Pteropus rufus,N,,F,A,N,N,535,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1/22/19,
RR034B309,RR034B_309_uaRa,2,AMB162_urine,AMB162,urine,"Ambakoana, Madagascar",2/14/19,Pteropus rufus,N,,M,A,N,N,680,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B310,RR034B_310_uaRa,2,AMB165_urine,AMB165,urine,"Ambakoana, Madagascar",3/22/19,Pteropus rufus,N,,M,A,N,N,575,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/18/19,
RR034B311,RR034B_311_uaRa,2,AMB170_urine,AMB170,urine,"Ambakoana, Madagascar",3/27/19,Pteropus rufus,N,,M,J,Y,N,255,132.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/18/19,
RR034B312,RR034B_312_uaRa,2,AMB171_urine,AMB171,urine,"Ambakoana, Madagascar",3/28/19,Pteropus rufus,N,,M,A,N,N,645,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B313,RR034B_313_uaRa,2,AMB172_urine,AMB172,urine,"Ambakoana, Madagascar",3/31/19,Pteropus rufus,N,,M,A,N,N,670,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/10/19,
RR034B314,RR034B_314_uaRa,2,AMB173_urine,AMB173,urine,"Ambakoana, Madagascar",3/31/19,Pteropus rufus,N,,F,NL,N,N,395,146.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/10/19,
RR034B315,RR034B_315_uaRa,2,AMB174_urine,AMB174,urine,"Ambakoana, Madagascar",3/31/19,Pteropus rufus,N,,M,A,N,N,735,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/10/19,
RR034B316,RR034B_316_uaRa,2,AMB61_urine,AMB61,urine,"Ambakoana, Madagascar",12/9/14,Pteropus rufus,,,M,A,,,810,173,2.191780822,18,12.5,14.5,44.75,16,15.75,13.5,17,0,NA,5/12/19,
RR034B317,RR034B_317_uaRa,2,AMB76_urine,AMB76,urine,"Ambakoana, Madagascar",3/22/15,Pteropus rufus,,,M,A,,,770,191,none,17,10.5,41.75,11,13.75,11,13,11,0,NA,5/12/19,
RR034B318,RR034B_318_uaRa,2,AMB8_urine,AMB8,urine,"Ambakoana, Madagascar",11/16/13,Pteropus rufus,,,F,NL,,,640,166,none,NA,10.25,50.5,6.25,8.25,14.5,11,8.25,0,NA,5/12/19,
RR034B319,RR034B_319_uaRa,2,AMB80_urine,AMB80,urine,"Ambakoana, Madagascar",5/11/15,Pteropus rufus,,,M,A,,,860,176,2.610958904,44,43.5,478.5,23.5,68.25,12.5,49.75,118,0,NA,5/12/19,
RR034B323,RR034B_323_uaRa,2,ANGB135_urine,ANGB135,urine,"AngavoBe, Madagascar",4/9/18,Eidolon dupreanum,N,,F,NL,N,N,320,133.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,11/22/18,
RR034B324,RR034B_324_uaRa,2,ANGB137_urine,ANGB137,urine,"AngavoBe, Madagascar",4/9/18,Eidolon dupreanum,N,,F,NL,N,N,290,135.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B325,RR034B_325_uaRa,2,ANGB138_urine,ANGB138,urine,"AngavoBe, Madagascar",4/9/18,Eidolon dupreanum,N,,F,NL,N,N,295,126.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B326,RR034B_326_uaRa,2,ANGB141_urine,ANGB141,urine,"AngavoBe, Madagascar",4/9/18,Eidolon dupreanum,N,,F,NL,N,N,300,128.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,11/27/18,
RR034B327,RR034B_327_uaRa,2,ANGB142_urine,ANGB142,urine,"AngavoBe, Madagascar",4/9/18,Eidolon dupreanum,N,,M,A,N,N,370,131.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,11/27/18,
RR034B328,RR034B_328_uaRa,2,ANGB155_urine,ANGB155,urine,"AngavoBe, Madagascar",7/27/18,Eidolon dupreanum,N,,F,NL,N,N,320,131.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,11/27/18,
RR034B329,RR034B_329_uaRa,2,ANGB158_urine,ANGB158,urine,"AngavoBe, Madagascar",9/9/18,Eidolon dupreanum,N,,F,P,N,N,385,134.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1/17/19,
RR034B330,RR034B_330_uaRa,2,ANGB161_urine,ANGB161,urine,"AngavoBe, Madagascar",9/9/18,Eidolon dupreanum,N,,M,A,N,N,320,128.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/25/19,
RR034B331,RR034B_331_uaRa,2,KEL140_urine,KEL140,urine,"AngavoKely, Madagascar",1/10/16,Eidolon dupreanum,,,M,A,,,320,131.3,none,12,18.25,22.25,378,31.5,77,213.5,10.75,0,0,5/14/19,
RR034B332,RR034B_332_uaRa,2,KEL141_urine,KEL141,urine,"AngavoKely, Madagascar",1/10/16,Eidolon dupreanum,,,F,NL,,,312,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
RR034B333,RR034B_333_uaRa,2,KEL149_urine,KEL149,urine,"AngavoKely, Madagascar",2/15/18,Eidolon dupreanum,N,,F,NL,N,N,380,128.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/14/19,
RR034B334,RR034B_334_uaRa,2,KEL153_urine,KEL153,urine,"AngavoKely, Madagascar",2/15/18,Eidolon dupreanum,N,,F,NL,N,N,360,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/14/19,
RR034B335,RR034B_335_uaRa,2,KEL154_urine,KEL154,urine,"AngavoKely, Madagascar",2/15/18,Eidolon dupreanum,N,,F,NL,N,N,340,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/14/19,
RR034B336,RR034B_336_uaRa,2,KEL156_urine,KEL156,urine,"AngavoKely, Madagascar",2/15/18,Eidolon dupreanum,N,,M,A,N,N,320,111.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/14/19,
RR034B337,RR034B_337_uaRa,2,KEL157_urine,KEL157,urine,"AngavoKely, Madagascar",2/15/18,Eidolon dupreanum,N,,F,NL,N,N,380,131.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/14/19,
RR034B338,RR034B_338_uaRa,2,KEL161_urine,KEL161,urine,"AngavoKely, Madagascar",2/15/18,Eidolon dupreanum,N,,M,A,N,N,360,131.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,11/21/18,
RR034B339,RR034B_339_uaRa,2,KEL163_urine,KEL163,urine,"AngavoKely, Madagascar",2/15/18,Eidolon dupreanum,N,,F,NL,N,N,360,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/14/19,
RR034B340,RR034B_340_uaRa,2,KEL164_urine,KEL164,urine,"AngavoKely, Madagascar",2/15/18,Eidolon dupreanum,N,,F,J,Y,N,230,112.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/14/19,
RR034B341,RR034B_341_uaRa,2,KEL165_urine,KEL165,urine,"AngavoKely, Madagascar",2/15/18,Eidolon dupreanum,N,,F,NL,N,N,355,124.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/14/19,
RR034B342,RR034B_342_uaRa,2,KEL166_urine,KEL166,urine,"AngavoKely, Madagascar",2/15/18,Eidolon dupreanum,N,,F,J,Y,N,220,109.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/14/19,
RR034B343,RR034B_343_uaRa,2,KEL168_urine,KEL168,urine,"AngavoKely, Madagascar",2/15/18,Eidolon dupreanum,N,,F,NL,N,N,330,129.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5/14/19,
